# ----------------------------------------
# Reports snapshot
# Account: sendearndirect
# Property: SellEarnDirect
# ----------------------------------------
#  
# Start date: 20251213
# End date: 20260109
Nth day,Active users
Subscription Model: Build Recurring Revenue | Sell Earn Direct Blog,1
Upsell and Downsell Strategies That Work | Sell Earn Direct Blog,1
Webinar Marketing: Convert Viewers to Customers | Sell Earn Direct Blog,1

#  
# Start date: 20251213
# End date: 20260109
Event name,Event count
page_view,3581
scroll,1175
user_engagement,1152
session_start,746
first_visit,600
form_start,97
form_submit,37
click,5
file_download,1

# What are your top performing key events?
# Start date: 20251213
# End date: 20260109
Event name,Key events


# Where does your average 120d value come from?
# Start date: 20251213
# End date: 20260109
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20251213
# End date: 20260109
Item name,Items purchased


# How does activity on your platforms compare?
# Start date: 20251213
# End date: 20260109
Platform,Key events
